"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 04, 2018","11,520.30","11,599.80","11,599.80","11,498.15","262.61K","-0.54%"
"Sep 03, 2018","11,582.35","11,751.80","11,751.80","11,567.40","241.73M","-0.84%"
"Aug 31, 2018","11,680.50","11,675.85","11,727.65","11,640.10","357.23M","0.03%"
"Aug 30, 2018","11,676.80","11,694.75","11,698.80","11,639.70","323.45M","-0.13%"
"Aug 29, 2018","11,691.90","11,744.95","11,753.20","11,678.85","259.35M","-0.40%"
"Aug 28, 2018","11,738.50","11,731.95","11,760.20","11,710.50","249.42M","0.40%"
"Aug 27, 2018","11,691.95","11,605.85","11,700.95","11,595.60","205.69M","1.17%"
"Aug 24, 2018","11,557.10","11,566.60","11,604.60","11,532.00","225.60M","-0.22%"
"Aug 23, 2018","11,582.75","11,620.70","11,620.70","11,546.70","256.16M","0.10%"
"Aug 21, 2018","11,570.90","11,576.20","11,581.75","11,539.60","231.06M","0.17%"
"Aug 20, 2018","11,551.75","11,502.10","11,565.30","11,499.65","239.84M","0.71%"
"Aug 17, 2018","11,470.75","11,437.15","11,486.45","11,431.80","241.99M","0.75%"
"Aug 16, 2018","11,385.05","11,397.15","11,449.85","11,366.25","299.61M","-0.44%"
"Aug 14, 2018","11,435.10","11,381.70","11,452.45","11,370.80","239.84M","0.70%"
"Aug 13, 2018","11,355.75","11,369.60","11,406.30","11,340.30","254.47M","-0.65%"
"Aug 10, 2018","11,429.50","11,474.95","11,478.75","11,419.65","336.42M","-0.36%"
"Aug 09, 2018","11,470.70","11,493.25","11,495.20","11,454.10","311.52M","0.18%"
"Aug 08, 2018","11,450.00","11,412.50","11,459.95","11,379.30","217.05M","0.53%"
"Aug 07, 2018","11,389.45","11,423.15","11,428.95","11,359.70","233.41M","0.02%"
"Aug 06, 2018","11,387.10","11,401.50","11,427.65","11,370.60","210.00M","0.23%"
"Aug 03, 2018","11,360.80","11,297.80","11,368.00","11,294.55","225.15M","1.03%"
"Aug 02, 2018","11,244.70","11,328.90","11,328.90","11,234.95","216.53M","-0.89%"
"Aug 01, 2018","11,346.20","11,359.80","11,390.55","11,313.55","278.01M","-0.09%"
"Jul 31, 2018","11,356.50","11,311.05","11,366.00","11,267.75","264.43M","0.33%"
"Jul 30, 2018","11,319.55","11,296.65","11,328.10","11,261.45","287.44M","0.37%"
"Jul 27, 2018","11,278.35","11,232.75","11,283.40","11,210.25","324.34M","0.99%"
"Jul 26, 2018","11,167.30","11,132.95","11,185.85","11,125.70","376.66M","0.32%"
"Jul 25, 2018","11,132.00","11,148.40","11,157.15","11,113.25","212.33M","-0.02%"
"Jul 24, 2018","11,134.30","11,109.00","11,143.40","11,092.50","212.25M","0.45%"
"Jul 23, 2018","11,084.75","11,019.85","11,093.40","11,010.95","236.15M","0.68%"
"Jul 20, 2018","11,010.20","10,963.50","11,030.25","10,946.20","193.14M","0.48%"
"Jul 19, 2018","10,957.10","10,999.50","11,006.50","10,935.45","222.06M","-0.21%"
"Jul 18, 2018","10,980.45","11,060.20","11,076.20","10,956.30","232.50M","-0.25%"
"Jul 17, 2018","11,008.05","10,939.65","11,018.50","10,925.60","217.11M","0.65%"
"Jul 16, 2018","10,936.85","11,018.95","11,019.50","10,926.25","216.97M","-0.74%"
"Jul 13, 2018","11,018.90","11,056.90","11,071.35","10,999.75","241.67M","-0.04%"
"Jul 12, 2018","11,023.20","11,006.95","11,078.30","10,999.65","256.04M","0.68%"
"Jul 11, 2018","10,948.30","10,956.40","10,976.65","10,923.00","229.21M","0.01%"
"Jul 10, 2018","10,947.25","10,902.75","10,956.90","10,876.65","203.06M","0.87%"
"Jul 09, 2018","10,852.90","10,838.30","10,860.35","10,807.15","189.33M","0.74%"
"Jul 06, 2018","10,772.65","10,744.15","10,816.35","10,735.05","256.55M","0.21%"
"Jul 05, 2018","10,749.75","10,786.05","10,786.05","10,726.25","227.27M","-0.19%"
"Jul 04, 2018","10,769.90","10,715.00","10,777.15","10,677.75","179.27M","0.65%"
"Jul 03, 2018","10,699.90","10,668.60","10,713.30","10,630.25","208.37M","0.40%"
"Jul 02, 2018","10,657.30","10,732.35","10,736.15","10,604.65","304.54M","-0.53%"
"Jun 29, 2018","10,714.30","10,612.85","10,723.05","10,612.35","250.33M","1.18%"
"Jun 28, 2018","10,589.10","10,660.80","10,674.20","10,557.70","363.16M","-0.77%"
"Jun 27, 2018","10,671.40","10,785.50","10,785.50","10,652.40","253.62M","-0.91%"
"Jun 26, 2018","10,769.15","10,742.70","10,805.25","10,732.55","226.85M","0.06%"
"Jun 25, 2018","10,762.45","10,822.90","10,831.05","10,753.05","236.69M","-0.55%"
"Jun 22, 2018","10,821.85","10,742.70","10,837.00","10,710.45","236.90M","0.75%"
"Jun 21, 2018","10,741.10","10,808.45","10,809.60","10,725.90","230.51M","-0.29%"
"Jun 20, 2018","10,772.05","10,734.65","10,781.80","10,724.05","199.47M","0.58%"
"Jun 19, 2018","10,710.45","10,789.45","10,789.45","10,701.20","231.38M","-0.83%"
"Jun 18, 2018","10,799.85","10,830.20","10,830.20","10,787.35","202.73M","-0.17%"
"Jun 15, 2018","10,817.70","10,808.65","10,834.00","10,755.40","314.76M","0.09%"
"Jun 14, 2018","10,808.05","10,832.90","10,833.70","10,773.55","190.03M","-0.45%"
"Jun 13, 2018","10,856.70","10,887.50","10,893.25","10,842.65","220.00M","0.13%"
"Jun 12, 2018","10,842.85","10,816.15","10,856.55","10,789.40","204.42M","0.52%"
"Jun 11, 2018","10,786.95","10,781.85","10,850.55","10,777.05","217.85M","0.18%"
"Jun 08, 2018","10,767.65","10,736.40","10,779.45","10,709.05","215.94M","-0.01%"
"Jun 07, 2018","10,768.35","10,722.60","10,818.00","10,722.60","227.66M","0.78%"
"Jun 06, 2018","10,684.65","10,603.45","10,698.35","10,587.50","195.76M","0.86%"
"Jun 05, 2018","10,593.15","10,630.70","10,633.15","10,550.90","172.90M","-0.33%"
"Jun 04, 2018","10,628.50","10,765.95","10,770.30","10,618.35","210.15M","-0.63%"
"Jun 01, 2018","10,696.20","10,738.45","10,764.75","10,681.50","227.36M","-0.37%"
"May 31, 2018","10,736.15","10,670.10","10,763.80","10,620.40","629.20M","1.15%"
"May 30, 2018","10,614.35","10,579.00","10,648.70","10,558.45","246.12M","-0.18%"
"May 29, 2018","10,633.30","10,689.40","10,717.25","10,616.10","232.76M","-0.52%"
"May 28, 2018","10,688.65","10,648.35","10,709.80","10,640.55","239.79M","0.79%"
"May 25, 2018","10,605.15","10,533.05","10,628.05","10,524.00","268.92M","0.87%"
"May 24, 2018","10,513.85","10,464.85","10,535.15","10,419.80","306.79M","0.80%"
"May 23, 2018","10,430.35","10,521.10","10,533.55","10,417.80","299.92M","-1.01%"
"May 22, 2018","10,536.70","10,518.45","10,558.60","10,490.55","249.24M","0.19%"
"May 21, 2018","10,516.70","10,616.70","10,621.70","10,505.80","197.29M","-0.75%"
"May 18, 2018","10,596.40","10,671.85","10,674.95","10,589.10","229.91M","-0.81%"
"May 17, 2018","10,682.70","10,775.60","10,777.25","10,664.50","220.74M","-0.54%"
"May 16, 2018","10,741.10","10,751.95","10,790.45","10,699.70","238.22M","-0.56%"
"May 15, 2018","10,801.85","10,812.60","10,929.20","10,781.40","262.20M","-0.04%"
"May 14, 2018","10,806.60","10,815.15","10,834.85","10,774.75","176.70M","0.00%"
"May 11, 2018","10,806.50","10,741.95","10,812.05","10,724.45","209.39M","0.84%"
"May 10, 2018","10,716.55","10,779.65","10,785.55","10,705.00","197.99M","-0.23%"
"May 09, 2018","10,741.70","10,693.35","10,766.25","10,689.85","222.12M","0.22%"
"May 08, 2018","10,717.80","10,757.90","10,758.55","10,689.40","278.12M","0.02%"
"May 07, 2018","10,715.50","10,653.15","10,725.65","10,635.65","173.62M","0.92%"
"May 04, 2018","10,618.25","10,700.45","10,700.45","10,601.60","192.30M","-0.57%"
"May 03, 2018","10,679.65","10,720.15","10,720.60","10,647.45","190.87M","-0.36%"
"May 02, 2018","10,718.05","10,783.85","10,784.65","10,689.80","236.76M","-0.20%"
"Apr 30, 2018","10,739.35","10,705.75","10,759.00","10,704.60","179.16M","0.44%"
"Apr 27, 2018","10,692.30","10,651.65","10,719.80","10,647.55","306.67M","0.70%"
"Apr 26, 2018","10,617.80","10,586.50","10,628.40","10,559.65","345.54M","0.45%"
"Apr 25, 2018","10,570.55","10,612.40","10,612.60","10,536.45","195.13M","-0.41%"
"Apr 24, 2018","10,614.35","10,578.10","10,636.80","10,569.00","225.97M","0.28%"
"Apr 23, 2018","10,584.70","10,592.80","10,638.35","10,514.95","200.20M","0.20%"
"Apr 20, 2018","10,564.05","10,560.35","10,582.35","10,527.45","252.23M","-0.01%"
"Apr 19, 2018","10,565.30","10,563.65","10,572.20","10,546.20","270.74M","0.37%"
"Apr 18, 2018","10,526.20","10,578.90","10,594.20","10,509.70","211.82M","-0.21%"
"Apr 17, 2018","10,548.70","10,557.30","10,560.45","10,495.65","212.45M","0.19%"
"Apr 16, 2018","10,528.35","10,398.30","10,540.15","10,396.35","200.95M","0.46%"
"Apr 13, 2018","10,480.60","10,495.30","10,519.90","10,451.45","219.72M","0.21%"
"Apr 12, 2018","10,458.65","10,410.65","10,469.90","10,395.25","246.03M","0.40%"
"Apr 11, 2018","10,417.15","10,428.15","10,428.15","10,355.60","258.08M","0.14%"
"Apr 10, 2018","10,402.25","10,412.90","10,424.85","10,381.50","259.52M","0.22%"
"Apr 09, 2018","10,379.35","10,333.70","10,397.70","10,328.50","228.51M","0.46%"
"Apr 06, 2018","10,331.60","10,322.75","10,350.45","10,290.85","206.36M","0.06%"
"Apr 05, 2018","10,325.15","10,228.45","10,331.80","10,227.45","244.12M","1.94%"
"Apr 04, 2018","10,128.40","10,274.60","10,279.85","10,111.30","238.18M","-1.14%"
"Apr 03, 2018","10,245.00","10,186.85","10,255.35","10,171.05","211.65M","0.33%"
"Apr 02, 2018","10,211.80","10,151.65","10,220.10","10,127.75","232.43M","0.97%"
"Mar 28, 2018","10,113.70","10,143.60","10,158.35","10,096.90","354.98M","-0.69%"
"Mar 27, 2018","10,184.15","10,188.00","10,207.90","10,139.65","232.71M","0.53%"
"Mar 26, 2018","10,130.65","9,989.15","10,143.50","9,958.55","270.66M","1.33%"
"Mar 23, 2018","9,998.05","9,968.80","10,027.70","9,951.90","294.52M","-1.15%"
"Mar 22, 2018","10,114.75","10,167.50","10,207.85","10,105.40","237.63M","-0.40%"
"Mar 21, 2018","10,155.25","10,181.95","10,227.30","10,132.95","211.06M","0.31%"
"Mar 20, 2018","10,124.35","10,051.55","10,155.65","10,049.10","209.33M","0.30%"
"Mar 19, 2018","10,094.25","10,215.35","10,224.55","10,075.30","216.67M","-0.99%"
"Mar 16, 2018","10,195.15","10,345.15","10,346.30","10,180.25","338.70M","-1.59%"
"Mar 15, 2018","10,360.15","10,405.45","10,420.00","10,346.20","179.31M","-0.49%"
"Mar 14, 2018","10,410.90","10,393.05","10,420.35","10,336.30","186.99M","-0.15%"
"Mar 13, 2018","10,426.85","10,389.50","10,478.60","10,377.85","274.85M","0.05%"
"Mar 12, 2018","10,421.40","10,301.60","10,433.65","10,295.45","223.14M","1.90%"
"Mar 09, 2018","10,226.85","10,271.30","10,296.70","10,211.90","192.33M","-0.15%"
"Mar 08, 2018","10,242.65","10,216.25","10,270.35","10,146.40","233.38M","0.87%"
"Mar 07, 2018","10,154.20","10,232.95","10,243.35","10,141.55","257.20M","-0.93%"
"Mar 06, 2018","10,249.25","10,420.50","10,441.35","10,215.90","229.78M","-1.06%"
"Mar 05, 2018","10,358.85","10,428.30","10,428.70","10,323.90","199.98M","-0.95%"
"Mar 01, 2018","10,458.35","10,479.95","10,525.50","10,447.15","181.38M","-0.33%"
"Feb 28, 2018","10,492.85","10,488.95","10,535.50","10,461.55","294.79M","-0.58%"
"Feb 27, 2018","10,554.30","10,615.20","10,631.65","10,537.25","193.25M","-0.27%"
"Feb 26, 2018","10,582.60","10,526.55","10,592.95","10,520.20","177.24M","0.87%"
"Feb 23, 2018","10,491.05","10,408.10","10,499.10","10,396.65","217.13M","1.04%"
"Feb 22, 2018","10,382.70","10,354.35","10,397.55","10,340.65","323.26M","-0.14%"
"Feb 21, 2018","10,397.45","10,426.00","10,426.10","10,349.60","241.33M","0.36%"
"Feb 20, 2018","10,360.40","10,391.00","10,429.35","10,347.65","193.46M","-0.17%"
"Feb 19, 2018","10,378.40","10,488.90","10,489.35","10,302.75","193.09M","-0.71%"
"Feb 16, 2018","10,452.30","10,596.20","10,612.90","10,434.05","190.04M","-0.88%"
"Feb 15, 2018","10,545.50","10,537.90","10,618.10","10,511.05","217.09M","0.42%"
"Feb 14, 2018","10,500.90","10,585.75","10,590.55","10,456.65","236.33M","-0.37%"
"Feb 12, 2018","10,539.75","10,518.20","10,555.50","10,485.40","224.12M","0.81%"
"Feb 09, 2018","10,454.95","10,416.50","10,480.20","10,398.20","197.50M","-1.15%"
"Feb 08, 2018","10,576.85","10,518.50","10,637.80","10,479.55","239.41M","0.96%"
"Feb 07, 2018","10,476.70","10,607.20","10,614.00","10,446.40","258.10M","-0.21%"
"Feb 06, 2018","10,498.25","10,295.15","10,594.15","10,276.30","274.66M","-1.58%"
"Feb 05, 2018","10,666.55","10,604.30","10,702.75","10,586.80","247.48M","-0.87%"
"Feb 02, 2018","10,760.60","10,938.20","10,954.95","10,736.10","291.43M","-2.33%"
"Feb 01, 2018","11,016.90","11,044.55","11,117.35","10,878.80","315.74M","-0.10%"
"Jan 31, 2018","11,027.70","11,018.80","11,058.50","10,979.30","253.46M","-0.20%"
"Jan 30, 2018","11,049.65","11,120.85","11,121.10","11,033.90","234.97M","-0.73%"
"Jan 29, 2018","11,130.40","11,079.35","11,171.55","11,075.95","249.22M","0.55%"
"Jan 25, 2018","11,069.65","11,095.60","11,095.60","11,009.20","340.47M","-0.15%"
"Jan 24, 2018","11,086.00","11,069.35","11,110.10","11,046.15","292.20M","0.02%"
"Jan 23, 2018","11,083.70","10,997.40","11,092.90","10,994.55","293.45M","1.07%"
"Jan 22, 2018","10,966.20","10,883.20","10,975.10","10,881.40","238.82M","0.66%"
"Jan 19, 2018","10,894.70","10,829.20","10,906.85","10,793.90","214.01M","0.72%"
"Jan 18, 2018","10,817.00","10,873.40","10,887.50","10,782.40","321.61M","0.26%"
"Jan 17, 2018","10,788.55","10,702.45","10,803.00","10,666.75","260.49M","0.82%"
"Jan 16, 2018","10,700.45","10,761.50","10,762.35","10,687.85","217.47M","-0.38%"
"Jan 15, 2018","10,741.55","10,718.50","10,782.65","10,713.80","181.26M","0.56%"
"Jan 12, 2018","10,681.25","10,682.55","10,690.40","10,597.10","180.59M","0.28%"
"Jan 11, 2018","10,651.20","10,637.05","10,664.60","10,612.35","158.63M","0.18%"
"Jan 10, 2018","10,632.20","10,652.05","10,655.50","10,592.70","181.90M","-0.05%"
"Jan 09, 2018","10,637.00","10,645.10","10,659.15","10,603.60","211.29M","0.13%"
"Jan 08, 2018","10,623.60","10,591.70","10,631.20","10,588.55","174.18M","0.61%"
"Jan 05, 2018","10,558.85","10,534.25","10,566.10","10,520.10","186.47M","0.51%"
"Jan 04, 2018","10,504.80","10,469.40","10,513.00","10,441.45","180.26M","0.59%"
"Jan 03, 2018","10,443.20","10,482.65","10,503.60","10,429.55","172.52M","0.01%"
"Jan 02, 2018","10,442.20","10,477.55","10,495.20","10,404.65","158.09M","0.06%"